"Practices","Tasks","Notional Implementation Examples","References"
"Define and Use Criteria for Software Security Checks (PO.4)","PO.4.2: Implement processes and mechanisms to gather and safeguard necessary information in support of the criteria.","Example 1: Use the toolchain to automatically gather information that informs security decision-making.\nExample 2: Deploy additional tools if needed to support the generation and collection of information supporting the criteria.\nExample 3: Automate decision-making processes utilizing the criteria, and periodically review these processes.\nExample 4: Only allow authorized personnel to access the gathered information, and prevent any alteration or deletion of the information.","BSAFSS: PD.1-4, PD.1-5\nBSIMM: SM1.4, SM2.1, SM2.2, SM3.4\nIEC62443: SI-1, SVV-1, SVV-2, SVV-3, SVV-4\nOWASPSAMM: PC3-B\nPCISSLC: 2.5\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: SA-11, SA-15, SA-15(01), SA-15(11), SI-12\nSP800160: 3.2.5, 3.3.7\nSP800161: SA-11\nSP800181: T0349; K0153"
"Implement and Maintain Secure Environments for Software Development (PO.5): Ensure that all components of the environments for software development are strongly protected from internal and external threats to prevent compromises of the environments or the software being developed or maintained within them. Examples of environments for software development include development, build, test, and distribution environments.","PO.5.1: Separate and protect each environment involved in software development.","Example 1: Use multi-factor, risk-based authentication and conditional access for each environment.\nExample 2: Use network segmentation and access controls to separate the environments from each other and production environments and to separate components from each other within each non-production environment in order to reduce attack surfaces and attackers' lateral movement and privilege/access escalation.\nExample 3: Enforce authentication, and tightly restrict connections entering and exiting each software development environment, including minimizing access to the internet to only what is necessary.\nExample 4: Minimize direct human access to toolchain systems, such as build services. Continuously monitor and audit all access attempts and all use of privileged access.\nExample 5: Minimize the use of production-environment software and services from non-production environments.\nExample 6: Regularly log, monitor, and audit trust relationships for authorization and access between the environments and between the components within each environment.\nExample 7: Continuously log and monitor operations and alerts across all components of the development environment to detect, respond, and recover from attempted and actual cyber incidents.\nExample 8: Configure security controls and other tools involved in separating and protecting the environments to generate artifacts for their activities.\nExample 9: Continuously monitor all software deployed in each environment for new vulnerabilities, and respond to vulnerabilities appropriately following a risk-based approach.\nExample 10: Configure and implement measures to secure the environments' hosting infrastructures following a zero trust architecture.","BSAFSS: DE.1, IA.1, IA.2\nCNCFSSCP: Securing Build Pipelines—Controlled Environments\nIEC62443: SM-7\nNISTCSF: PR.AC-5, PR.DS-7\nSCAGILE: Tasks Requiring the Help of Security Experts 11\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: AC-04, CM-02, CM-12, PL-08, SA-03, SA-03(01), SA-08, SA-15, SA-17, SC-07, SC-07(01), SC-07(29)\nSP800161: AC-04, CM-02, CM-12, PL-08, SA-03, SC-07\nSP800181: OM-NET-001, SP-SYS-001; T0019, T0023, T0144, T0160, T0262, T0438, T0484, T0485, T0553; K0001, K0005, K0007, K0033, K0049, K0056, K0061, K0071, K0104, K0112, K0179, K0326, K0487; S0007, S0084, S0121; A0048"
"Implement and Maintain Secure Environments for Software Development (PO.5)","PO.5.2: Secure and harden development endpoints (e.g., for software designers, developers, testers, builders) to perform development-related tasks using a risk-based approach.","Example 1: Configure each development endpoint based on approved hardening guides and checklists (e.g., enable FIPS-compliant encryption of all sensitive data at rest and in transit).\nExample 2: Configure development endpoints and resources to provide the least functionality needed by users and services and to enforce the principle of least privilege.\nExample 3: Continuously monitor the security posture of all development endpoints, including monitoring and auditing all use of privileged access.\nExample 4: Configure security controls and other tools involved in securing and hardening development endpoints to generate artifacts for their activities.\nExample 5: Require multi-factor authentication for all access to development endpoints and resources.\nExample 6: Provide dedicated development endpoints on non-production networks for performing all development-related tasks. Provide separate endpoints on production networks for all other tasks.\nExample 7: Configure each development endpoint following a zero trust architecture.","BSAFSS: DE.1-1, IA.1, IA.2\nIEC62443: SM-7\nNISTCSF: PR.AC-4, PR.AC-7, PR.IP-1, PR.IP-3, PR.IP-12, PR.PT-1, PR.PT-3, DE.CM\nSCAGILE: Tasks Requiring the Help of Security Experts 11\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: CM-02, CM-03, CM-04, CM-06, CM-14, SA-15, SA-17\nSP800161: CM-02, CM-03, CM-06\nSP800181: OM-ADM-001, SP-SYS-001; T0484, T0485, T0489, T0553; K0005, K0007, K0077, K0088, K0130, K0167, K0205, K0275; S0076, S0097, S0121, S0158; A0155"
"Define and Implement a Continuous Process Improvement Plan (PO.6): Identify and execute improvements to cybersecurity processes and procedures throughout the SDLC across all SSDF practices.","PO.6.1: Update and improve software development environments in response to new threats and as new tools are included in the development process.","Example 1: Add new scanning tools or update the configurations of existing tools to check for malicious content in artifacts received from suppliers. Actions could be executed as part of a response to an incident or based on threat reports.\nExample 2: Improve logging and audit capabilities in development environments by working with internal security teams to identify the best format, events to capture, and level of granularity that enable quick reconstruction of security-related actions.\nExample 3: Incorporate and adapt zero trust capabilities as they become available in underlying IT and development infrastructures.","[NISTCSF20]: ID.IM\nSP80053: CM-09, RA-03, SA-15"
"Define and Implement a Continuous Process Improvement Plan (PO.6)","PO.6.2: Identify new processes, tools, and techniques that can help avoid software errors (see PW.7, RV.3.3).","Example 1: Use new languages or features in existing languages that eliminate classes of vulnerabilities.\nExample 2: Evaluate and adopt tools that expand testing coverage in response to known vulnerabilities.\nExample 3: Improve logging capabilities in software by working with customers and security logging vendors or tools to identify the best format, events to capture, and level of granularity that enable quick reconstruction of security-related actions.","NISTCSF20: ID.IM\nSP80053: SA-15"
"Define and Implement a Continuous Process Improvement Plan (PO.6)","PO.6.3: Improve vulnerability response processes, and periodically review prior decisions (see RV.2.2).","Example 1: Periodically review decisions, particularly if a decision to not provide a software update is made in favor of some other mitigation, and the implementation of measures to identify customer impact over time.","NISTCSF20: ID.IM\nSP80053: RA-05, SA-15"
"Protect All Forms of Code from Unauthorized Access and Tampering (PS.1): Help prevent unauthorized changes to code, both inadvertent and intentional, which could circumvent or negate the intended security characteristics of the software. For code that is not intended to be publicly accessible, this helps prevent the theft of the software and may make it more difficult or time-consuming for attackers to find vulnerabilities in the software.","PS.1.1: Store all forms of code – including source code, executable code, and configuration as code – based on the principle of least privilege so that only authorized personnel, tools, and services have access.","Example 1: Store all source code and configuration as code in a code repository, and restrict access to it based on the nature of the code. For example, open-source code intended for public access may need its integrity and availability protected; other code may also need its confidentiality protected.\nExample 2: Use version control features of the repository to track all changes made to the code with accountability to the individual account.\nExample 3: Use commit signing for code repositories.\nExample 4: Have the code owner review and approve all changes made to the code by others.\nExample 5: Use code signing to help protect the integrity of executables.\nExample 6: Use cryptography (e.g., cryptographic hashes) to help protect file integrity.","BSAFSS: IA.1, IA.2, SM.4-1, DE.1-2\nBSIMM: SE2.4\nCNCFSSCP: Securing the Source Code—Verification, Automation, Controlled Environments, Secure Authentication; Securing Materials—Automation\nIDASoar: Fact Sheet 25\nIEC62443: SM-6, SM-7, SM-8\nNISTCSF: PR.AC-4, PR.DS-6, PR.IP-3\nOWASPASVS: 1.10, 10.3.2\nOWASPMASVS: 7.1\nOWASPSAMM: OE3-B\nPCISSLC: 5.1, 6.1\nSCSIC: Vendor Software Delivery Integrity Controls, Vendor Software Development Integrity Controls\nSP80053: AC-03, AC-06, CM-05, SA-10, SC-12, SC-28, SI-12\nSP800161: AC-03, SC-28"
"Provide a Mechanism for Verifying Software Release Integrity (PS.2): Help software acquirers ensure that the software they acquire is legitimate and has not been tampered with.","PS.2.1: Make software integrity verification information available to software acquirers.","Example 1: Post cryptographic hashes for release files on a well-secured website.\nExample 2: Use an established certificate authority for code signing so that consumers' operating systems or other tools and services can confirm the validity of signatures before use.\nExample 3: Periodically review the code signing processes, including certificate renewal, rotation, revocation, and protection.","BSAFSS: SM.4, SM.5, SM.6\nBSIMM: SE2.4\nCNCFSSCP: Securing Deployments—Verification\nIEC62443: SM-6, SM-8, SUM-4\nNISTCSF: PR.DS-6\n[NISTLABEL]: 2.2.2.4\nOWASPSAMM: OE3-B\nOWASPSCVS: 4\nPCISSLC: 6.1, 6.2\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: AU-07, SA-05, SA-08, SA-11\nSP800161: SA-11\nSP800181: K0178"
"Archive and Protect Each Software Release (PS.3): Preserve software releases in order to help identify, analyze, and eliminate vulnerabilities discovered in the software after release.","PS.3.1: Securely archive the necessary files and supporting data (e.g., integrity verification information, provenance data) to be retained for each software release.","Example 1: Store the release files, images, and other associated data in repositories following the organization's established policy. Allow read-only access to them by necessary personnel and no access by anyone else.\nExample 2: Store and protect release integrity verification information and provenance data, such as by keeping it in a separate location from the release files or by signing the data.","BSAFSS: PD.1-5, DE.1-2, IA.2\nCNCFSSCP: Securing Artefacts—Automation, Controlled Environments, Encryption; Securing Deployments—Verification\nIDASoar: 25\nIEC62443: SM-6, SM-7\nNISTCSF: PR.IP-4\nOWASPSCVS: 1, 3.18, 3.19, 6.3\nPCISSLC: 5.2, 6.1, 6.2\nSCSIC: Vendor Software Delivery Integrity Controls\nSP80053: CM-08, CM-12, CP-06, CP-09, MP-02, MP-03, MP-04, SA-10, SA-15, SA-15(11), SC-08, SC-28, SI-12, SR-04\nSP800161: MP-01, SC-28, SC-36, SR-04"
"Archive and Protect Each Software Release (PS.3)","PS.3.2: Collect, safeguard, maintain, and share provenance data for all components of each software release (e.g., in a software bill of materials [SBOM]).","Example 1: Make the provenance data available to software acquirers in accordance with the organization's policies, preferably using standards-based formats.\nExample 2: Make the provenance data available to the organization's operations and response teams to aid them in mitigating software vulnerabilities.\nExample 3: Protect the integrity of provenance data, and provide a way for recipients to verify provenance data integrity.\nExample 4: Update the provenance data every time any of the software's components are updated.","BSAFSS: SM.2\nBSIMM: SE3.6\nCNCFSSCP: Securing Materials—Verification, Automation\n[NTIASBOM]: All\nOWASPSCVS: 1.4, 2\nSCSIC: Vendor Software Delivery Integrity Controls\n[SCTPC]: MAINTAIN3\nSP80053: CM-08, CM-12, SA-08, SR-03, SR-04\nSP800161: CM-08, CM-12"
"Ensure Software Updates Are Robust and Reliable (PS.4): Implement robust and reliable software update strategies, preferably allowing customers to control any updates to the software package and application configurations. Help software acquirers maintain operations and minimize disruptions by ensuring that software updates are tested and responsibly delivered.","PS.4.1: Thoroughly test all releases following all guidance in PW.","Example 1: Test using configurations and environments that replicate actual or expected customer installations.\nExample 2: Consider using an ""early access"" program to allow customers to test updates before general release.","SP80053: CM-03, CM-04, SA-11\nSP800161: SA-11"
"Ensure Software Updates Are Robust and Reliable (PS.4)","PS.4.2: Use tiered update and release strategies, such as canaries, staged roll-out, and test deployments.","Example 1: Enable customers to configure and identify those systems that they consider critical and those that are considered safe to receive early updates for testing purposes.\nExample 2: Support multiple strategies for rolling out updates to customers, including staged or segmented rollouts with built-in wait times for customer feedback.\nExample 3: Consider the use of mechanisms that enable tailored updates or that support or provide information for troubleshooting problems while still maintaining user privacy.","SP80053: CM-02, CM-06, CM-09, SA-10\nSP800161: CM-02, CM-06"
"Ensure Software Updates Are Robust and Reliable (PS.4)","PS.4.3: Include robust rollback mechanisms for updates.","Example 1: Failed software updates automatically revert software to the last known good configuration, leaving systems in a runnable state.\nExample 2: Enable end-user organizations to roll back updates on systems as needed.\nExample 3: Implement protection mechanisms that prevent unauthorized roll-back to vulnerable software versions.","SP80053: CM-02, CM-09, SA-08, SA-10\nSP800161: CM-02"
"Ensure Software Updates Are Robust and Reliable (PS.4)","PS.4.4: Maintain robust and reliable update engines and associated infrastructure for the delivery of updates.","Example 1: Make the update engine fault-tolerant so that it can recover and retry downloading an update in the event of infrastructure overload.\nExample 2: Have the delivery infrastructure for updates degrade gracefully, or refuse new download attempts until current requests have been completed.","SP80053: CA-06, CA-07, CM-09, SA-10"
"Design Software to Meet Security Requirements and Mitigate Security Risks (PW.1): Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software's design and architecture should mitigate those risks; and justify any cases for which risk-based analysis indicates that security requirements should be relaxed or waived. Addressing security requirements and risks during software design (i.e., secure by design) is key to improving software security and also helps improve development efficiency.","PW.1.1: Use forms of risk modeling (e.g., threat modeling, attack modeling, attack surface mapping) to help assess the security risk for the software.","Example 1: Train the development team (security champions, in particular) or collaborate with a risk modeling expert to create models and analyze how to use a risk-based approach to communicate the risks and determine how to address them, including implementing mitigations.\nExample 2: Perform more rigorous assessments for high-risk areas, such as protecting sensitive data and safeguarding identification, authentication, and access control, including credential management.\nExample 3: Review vulnerability reports and statistics for previous software to inform the security risk assessment.\nExample 4: Use data classification methods to identify and characterize each type of data that the software will interact with.\nExample 5: Consider processes for creating and sharing under controlled disclosure the risk and threat models used during software development to inform customer risk management decisions.","BSAFSS: SC.1\nBSIMM: AM1.2, AM1.3, AM1.5, AM2.1, AM2.2, AM2.5, AM2.6, AM2.7, SFD2.2, AA1.1, AA1.2, AA1.3, AA2.1\nIDASoar: 1\nIEC62443: SM-4, SR-1, SR-2, SD-1\nIR8397: 2.1\nISO27034: 7.3.3\nMSSDL: 4\nNISTCSF: ID.RA\nOWASPASVS: 1.1.2, 1.2, 1.4, 1.6, 1.8, 1.9, 1.11, 2, 3, 4, 6, 8, 9, 11, 12, 13\nOWASPMASVS: 1.6, 1.8, 2, 3, 4, 5, 6\nOWASPSAMM: TA1-A, TA1-B, TA3-B, DR1-A\nPCISSLC: 3.2, 3.3\nSCAGILE: Tasks Requiring the Help of Security Experts 3\nSCFPSSD: Threat Modeling\n[SCTTM]: Entire guide\nSP80053: AT-03, CA-02, CA-08, RA-03, SA-08, SA-11, SA-11(02), SA-11(06), SA-15, SA-15(05), SI-02\nSP800160: 3.3.4, 3.4.5\nSP800161: AT-03, CA-02, RA-03, RA-09\nSP800181: T0038, T0062; K0005, K0009, K0038, K0039, K0070, K0080, K0119, K0147, K0149, K0151, K0152, K0160, K0161, K0162, K0165, K0297, K0310, K0344, K0362, K0487, K0624; S0006, S0009, S0022, S0078, S0171, S0229, S0248; A0092, A0093, A0107"
